GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
South Africa,38336071006,39810250010,42269436973,45386200940,48989793258,53347940265,55715759234,59725342237,62205953376,65139570532,68558449204,71492066360,72675108212,75997832835,80642114220,82009298221,83854496458,83775592976,86301014760,89572293904,95502508098,100622149784,100236410771,98385496370,103402247100,102149590533,102167759770,104314077374,108695313128,111298413501,110944725837,109814966802,107468175151,108793916961,112312420210,115811733479,120799393016,123996668249,124638205612,127577334784,132877648091,136512414038,141519467703,145692982131,152328632239,160367192374,169353717106,178749049657,185217195736,182369831416,187639624489,193499101150
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,113021529146,126401779752,138983102660,152320614543,160406569972,170437009179,182786977654,190720551066,203302424227,221410602777,230977558793,241716799132,261416103995,281776406455,297608819075,299222463974,309108150346,317882414865,322533045314,322667046531,329793884331,329357010934,333462320000,339364989096,345421593730,353440334465,364938885630,385182493102,404804938151,424344995166,440391149059,451603510207,455799879733,451098341465,461848895996,474584351741,486055114049,504859099130,527417014907,552447896215,580345494748,601640869725,617946434914,637037529120,657800500119,681373742384,709148044936,733820614902,740341770865,712647416141,712152291146,717193989759
Sri Lanka,2708601390,2823071268,2930856681,3004618975,3121994086,3201197958,3362019679,3578500632,3786093206,4078258886,4235134591,4290483612,4272872021,4574425143,4750350421,5041367314,5209502382,5475218413,5784778418,6155209085,6515044619,6886370991,7171570536,7516808382,7900102158,8295059639,8656355060,8805730046,9023468716,9230944961,9821725438,10273524808,10725559900,11465623533,12107698451,12773621865,13259019496,14108314847,14771179512,15406424815,16330810304,16078438393,16715893245,17708862282,18673120685,19838649830,21359771931,22811733077,24169041086,25024372773,27030316336,29260877188
Sudan,3292300613,3322278876,3552042477,3450916780,3412251040,3643501794,3513241284,3563272665,3633227617,3683705862,3901968151,3989657649,3787342666,3811286056,4247498788,4914928084,5734011627,6090888087,5729638367,5442090769,5525045073,5935973822,6289678679,6419403473,6097861523,5714852211,6024243459,6880944178,6858161939,7470691385,7062040511,7592464085,8091885904,8461583799,8546726693,9059281793,9595511990,10609444484,11066552696,11410069395,12366140066,13128567104,13832329600,14820625397,15088237417,16042683061,17854598587,19669066108,21013966787,21846767398,22819076998,21700942225
Suriname,,,,,,,,,,,,,,,,907505602.5,878210986.6,968362652.3,1040422000,979146529.6,927624939,928794914.7,911722852.1,884191580.2,850268218.4,836172405.6,808389565.5,699731518.7,758798086.2,838092030.7,833961022.2,857156435.7,855438256.9,793369048.7,819141730.3,828162168.9,838686013.9,886795019.5,900540449.7,892722736.3,892164328.2,932756301.7,977794062.8,1036491345,1126695731,1178026322,1223312567,1285842040,1339119703,1379476735,1436104191,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,257078585.9,292410532.2,308271744.2,336073763.8,355376107,404803396.4,396223848.3,400224081.8,405535575.5,418135335.8,470189234.8,539031708.7,545352233.6,551909285.4,585916600.3,608136990.3,682721812.2,782444189.4,833849373.2,941508542.7,1139394803,1159452440,1196858780,1234034572,1263659932,1324639759,1375533130,1418213245,1455144080,1498083561,1524452437,1542103734,1569510074,1604668575,1651311226,1691988459,1747867421,1809106613,1851757910,1874121022,1911603442,1936454287
Sweden,85028727553,89859666462,93686585670,98678111216,105409395859,109437566536,111725727098,115485854142,119687520926,125683446286,133277251110,134536249651,137615432995,143075987405,147651837382,151421186027,153023380963,150580732109,153218225975,159101811236,161806496553,161479205873,163405836617,166363076144,173468954449,177267361611,182339143634,188642802914,193672781455,199055234725,201066288111,198811754929,196419066335,192377179377,200096549277,207977423364,211330470498,217054182928,226181208632,236720886164,247260155858,250381346604,256599359725,262592755597,273713195657,282364681257,294498396948,304258796391,302392423838,287188905096,304858727345,316798617621
Switzerland,,,,,,,,,,,,,,,,,,,,,180443573548,183333081216,180932485875,182088788225,187566850048,194457298196,198071545303,201211926408,207806840968,216806527278,224773355504,222646556202,222868802728,222455843363,225104895208,225893296078,227312869349,232031125326,238153464128,241275975776,249918732455,252797994166,253918245870,253416009483,259834269511,266695570076,276377653102,286450319616,292452808698,286960456156,294748691280,300938413797
Syria,2203477369,2442181480,3041036058,2777902913,3035452396,3105248796,2867415756,3104197851,3219955879,3824274467,3678653011,4043428384,5055401755,4623408750,5738909210,6859408730,7611317847,7514369603,8170120908,8466888755,9481493126,10382966156,10603308414,10754848136,10316938481,10947826495,10406379515,10604886044,12011760884,10935721637,11771295229,12701377130,14412295022,15158705922,16318792155,17257125197,18016438706,18340734602,19503035378,18809964413,19325894913,20331023655,21530554051,21659737375,23154259254,24589823328,25819314494,27291015420,28519111114,30230257781,31197626030,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,2087356037,2160413499,2134488537,2431182443,2273155584,2259516651,2099090969,1490354588,1245936435,980551974.6,858963529.7,715516620.3,727680402.8,766247464.2,794598620.3,860550294.3,948326437,1034624143,1140155805,1261012321,1393235591,1175016606,1430152675,1733997805,1801623720,1918729261,2060715227
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6794262917,7050029100,7546708701,7703075615,7748086391,7841512879,7964441279,8248764813,8623618943,8927625501,9258707528,9706864370,10185786171,10796712193,11570140451,12366886533,13335003311,14317775888,15282420026,16374822018,17592588002,18652005227,19965679449,21228077944
Thailand,8764726641,9234702982,9932315403,10726883846,11459639926,12397227908,13776112396,14963060547,16178399797,17238191546,19204716561,20144859060,21006757943,23157099913,24191357185,25393763440,27762192462,30494953638,33634638293,35441410412,37274986914,39476772126,41589706661,43912159722,46438174779,48596267188,51285501317,56167342577,63630922388,71387853266,79359850156,86151673510,93115648058,100798662359,109857624323,120005700844,127087651039,125344804675,112171099813,117160062361,122725247706,125385028151,132052469496,141480983231,150456640790,157384716142,165400160325,173743467322,178059776977,173911253778,187494613811,187589623453
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278200000,316200000,276900000,283600000,283900000,295700000,314100000,304215734.3,339579440.6,389275332.2,438971223.8,480540052.4,531477298
Togo,278575742,312474881.8,324266598.9,340478937.5,389119797,449276599.6,491547772.9,518584726.7,544636825.4,603625722.9,618863062.9,618863062.9,666052346.6,691611998.7,725036563.2,742731379.1,727494077.2,778121010.9,864067857.7,819415054.5,938860827.4,907735843.9,875217091.9,827832770.4,873823475.7,922369194.7,937002621.7,941782854.7,1004339554,1045115958,1042569469,1035271822,994060892.6,843999175.2,970450628.7,1046590558,1139069514,1302837839,1272874177,1304463750,1294243543,1273188708,1261447985,1323945134,1352000397,1367959503,1423394866,1455997069,1490639147,1538732721,1595792895,1658132200
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,120953144,126687844.5,129199320.6,131445316.4,140066096.5,143033612.4,147304099,144532028.7,145095563.6,142129676.4,151247214.2,151628333.1,157296255.8,165086392.1,171214197.7,171231690,171006374.9,175655710.9,182474154.8,188623258.5,195417047.1,202718153.1,207980248.8,210125331.1,208129393.6,208373017.4,206383106.8,211928828.5,211643620.3,210629397.2,213070903.3
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,2811586619,3206251028,3294181287,3478806874,3744257235,3770236777,3923188550,4003320233,4212099333,4327118341,4480022976,4526630110,4788285048,4867599455,5052938289,5127618868,5456050479,5953740038,6550094967,6785857162,7490962395,7833839692,8150005669,7399928179,6974242086,6686947974,6467666526,6172490289,5930636564,5881644247,5970341068,6130454892,6029472932,5942107678,6153767074,6397137667,6649611423,6829447788,7360039024,7683040988,8154315708,8488206226,9168418142,10491745686,11320593595,11973198489,13553660689,14204236402,14587750785,14106355009,14103533738,13906084266
Tunisia,,2957595859,3099883114,3472635640,3642979536,3737795915,3866931819,3873194382,4276383395,4479418249,4688590613,5183714988,6103446975,6063491111,6553104841,7022051567,7575168218,7833564438,8338083138,8885688503,9544894532,10071206990,10021481643,10490679115,11093771860,11720411663,11550818723,12324881909,12333775383,12549209349,13546848859,14075791708,15174509839,15506805690,15999675713,16375935319,17546172836,18500850173,19419465919,20588036338,21473261837,22514700518,22897529290,24150166367,25589278230,26612888891,28117653870,29877676522,31228376126,32195585570,33161453137,32564546981
Turkey,44566050533,45081264990,47592935468,51907856546,54741536059,56287179430,62598556529,65561039657,70004764349,72861760698,75217752385,79404894949,85301334432,88084149122,93011994443,99684779523,110112983274,113864169358,115575471186,114854149223,112043265797,117484813542,121671065035,127719432121,136291980543,142072580798,152034754423,166456070031,170319077301,170813418317,186641240190,187985577937,197451845376,212559409689,202636823219,218601092943,234733120142,252520406456,258349119484,249654780792,266567531990,251379908801,266874563574,280926215534,307228800117,333040988667,355999132580,372619233720,375074194705,356973581803,389661484658,422738755426
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568056336,3961385381,3792815790,3820910722,3641327918,3448337538,3103503785,2566597630,2381802600,2222221826,1971110760,2103175181,2449271104,2904662605,3497984789,4050666386,4743330338,5559183156,6281876966,6998010941,7823776232,8973871338,9521277489,10397235018,11426561285
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10303724.43,10675616.81,10973331.2,11424413.6,12599232.65,11968719.69,11255225.1,12381097.94,14300308.47,14076705.59,13940067.41,15776372,16650385.22,16117572.89,15905983.15,15253887.72,15648727.42,16503167.06,17754310.57,17446568.52,16574240.09,16739982.5
Uganda,,,,,,,,,,,,,,,,,,,,,,,2525527942,2670608352,2661403388,2573407279,2583445804,2685799416,2907836429,3092831274,3293065505,3475965508,3594786415,3894098847,4143462753,4620924068,5040139594,5297186807,5557027883,6004588040,6193246632,6514283550,7083155463,7541666438,8055045270,8565136257,9488864309,10287107994,11182997488,11993479808,12701095116,13552068489
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,72112790855,73963539144,76828223358,71953291930,65901556790,59509765723,51043842844,39337424683,34538258871,31084432984,30151899995,29579013895,29519855867,31261527363,34137587881,35912742450,39288540241,44042453610,45231599857,48533506647,52367654045,53572110088,45643437795,47514818744,49985589319
United Arab Emirates,,,,,,,,,,,,,,,,29899277858,34840688594,42310298856,41637732956,50349834439,62370744063,65276707224,60890558870,58000802115,60330666087,58162094454,49462128951,51134929100,49795752494,55939498315,66192081450,66761387589,68994519208,69864671839,74682643386,79677333794,84297347541,91201636370,91467939985,94122535024,104337375343,105797143934,108371671742,117908964948,129188651376,135460942808,148879963946,153663846360,158726511689,156171920101,158408504665,166170521394
United Kingdom,525328308407,540685152092,547865414029,569540291077,598235339602,614919984602,627521608579,642023413952,667606364863,681308622665,698034860534,712164697966,737563854133,790136598711,779390904886,774506863836,794985820712,814021126299,840405929358,862994117013,844981955754,834702785338,853087644937,884575705039,908384297622,941301820438,979088489571,1023755772169,1075271265416,1099802690060,1108373235034,1092939524264,1094542217421,1118865516282,1166755632863,1202368820763,1237061020916,1313849464801,1364288187529,1414162353493,1477200786806,1523742447714,1564235998290,1619369390630,1667227104395,1702001557851,1746374722576,1806906922656,1786979190485,1708828582044,1744580105045,1756002097875
United States,2479391093100,2536417088242,2691138530624,2809548625972,2972502446278,3162742602840,3368320872025,3452528893825,3618250280729,3730416039432,3737876871510,3867133210851,4080667877148,4321881320296,4299436671118,4291008838422,4523528306791,4733336983895,4999656497074,5157035183409,5142219940671,5272895704466,5168479293070,5401885901722,5790542060028,6028650512184,6235265484267,6432742911428,6696489717783,6935219168138,7063943223309,7045490705407,7285373438130,7494649831064,7803019793692,8001916645307,8304875052204,8679070823886,9061073430064,9502248293168,9898800000000,10007031114616,10189959441124,10450068972316,10813707774621,11146296666995,11442690235793,11660926745593,11619053724200,11209194913112,11547905073444,11744219459693
Uruguay,10614613898,10879240250,10707941295,10726193929,10987968920,11102859567,11442924162,11024475409,11232718019,11891487796,12168941584,12138310953,11978137460,12011101245,12358864021,13112373368,13628406910,13826763086,14569811305,15473010914,16377160977,16632572597,15009587544,13467442600,13313561256,13508809425,14698909640,15873813654,16108894905,16286721165,16335149465,16913219122,18254706049,18739833279,20104344754,19813314465,20918492779,22706539276,23732622830,23272396923,22823255806,21945900192,20249041605,20412103881,21433558291,23032530046,23976536117,25544963828,27378107386,28040043322,30534154733,32274699322
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,12285308446,13408011466,13822492517,14043652397,13974557627,12409407173,12123990808,11493543286,11390101396,11583733120,12186087242,12710088994,13256622820,13760374488,14338310216,14911842625,15538140015,16734576796,17905997172,19213134965,21038382787,22931837238,24789316054,26896407919,29128809776
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,139843102.1,123901258.8,129104682,142919034.1,162689159.4,178284602,180038903.5,179801032.1,174597595.6,171609336.3,174240788.5,194638259.6,200748580.8,205952017.3,207498181.3,226290020.6,228579532.7,233901904.9,245394066.1,255949608.7,256806497.9,272014693.1,262525439.4,250979651.8,260354653.6,272033735,286308873.2,307381998.4,327382425.3,347592314.1,359588761.9,370549549.6,386483180.2
Venezuela,41118729573,42431452970,46052100593,47848570687,53173803147,55387357767,56223845461,57817155664,62059334863,62497496638,67317250051,68313068113,69189391661,74108728186,75642284607,77833080427,83847818124,89105733312,91196952546,91894021274,87831090370,87512429635,85700041807,82473592071,83662996974,83824717711,89281995940,92479764607,97863352352,89476578650,95263870747,104532938619,110868129422,111173447021,108561418118,112851399251,112628137002,119803598482,120155887146,112982030194,117147614566,121123881199,110397577420,101835914043,120458247112,132887025220,146005830495,158786565932,167167089250,161813893109,159404822025,166062245436
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907788315,3082508702,3171895902,3573173158,4003988813,4355166734,4113261233,3504929191,3151496301,3344165597,3552819407,3775940953,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,11453473962,11889376650,12221006031,12658942071,13308980224,14289121788,15017998194,15913197628,17289060247,18684759514,20336301848,22276482694,24357110075,26342722184,27861236672,29191217010,31172517272,33321830052,35681076633,38300485720,41283942096,44769045610,48453031029,52550385537,55866678639,58840794627,62832215474,66530108958
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5553970146,5903508918,6388045205,6643692625,7090278264,7492252465,7839515921,8249609781,8745138645,9075314021,9636342275,10002874611,10396510882,10786109544,11214608928,11841701606,12217132024,12624992174,13085486427,13591425750,14638265257,13104223693
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,1666817402,1680283120,1638429961,1692045830,1898713119,2214800544,2091429299,2257064144,2285239764,2275255181,2384401746,2382350217,2601737630,2576707654,2742342499,2680109734,2846838693,2716902250,2731947475,2649335273,2729759075,2898129461,2816611375,2761217379,2751916639,2796368639,2816611375,2891974366,3073612018,3042153544,3027518592,3026424647,2974039595,3176193215,2902232519,2820351878,3016243929,3115744351,3057831837,3125850012,3237716325,3396364425,3508444451,3687375118,3885776053,4093330085,4348147615,4617450196,4879795903,5192250555,5587389858,5917195991
Zimbabwe,1459732283,1551931300,1574193282,1672491323,1653990695,1735211094,1761640602,1909037242,1946647826,2188581822,2682438620,2921647386,3165014037,3247453649,3462602452,3395731871,3411516510,3177462512,3091451041,3193377320,3653884133,4111548672,4219859086,4286756718,4204992856,4497003857,4591397252,4644232162,4994981979,5254709384,5621937535,5932930867,5398043355,5454801525,5958563295,5967979333,6586303610,6762855657,6957978372,6901074576,6689957610,6786267277,6182695057,5131941405,4833901971,4557833784,4400064590,4239315809,3490273376,3699144987,4032423429,4407438807
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
